"lon","lat"
"696",-46.6333094,-23.5505199
"697",-90.7197143,30.0110809
"699",-74.0059413,40.7127837
"700",-81.441779,41.1014451
"701",-91.7629865,33.089546
"703",-118.2436849,34.0522342
"704",-84.3879824,33.7489954
"705",-50.2188556,-27.2423392
"706",-58.3815591,-34.6036844
"710",-58.9855547,-27.4518622
"711",121.024797,14.5716146
"713",-98.4936282,29.4241219
"715",-87.6297982,41.8781136
"717",-51.92528,-14.235004
"720",-78.183406,-1.831239
"721",-97.7114769,30.3447314
"722",-89.3985283,40.6331249
"723",-106.6055534,35.0853336
"727",-87.6358573,41.8964964
"728",-81.5322149,28.6934076
"730",-95.3698028,29.7604267
"731",-96.7969879,32.7766642
"732",-95.3698028,29.7604267
"734",-95.712891,37.09024
"735",20.4397566,44.788241
"736",-84.2122434,36.4578953
"738",-81.407571,28.2919557
"741",101.9378239,2.725889
"742",-2.6103157,53.2326344
"743",-2.2426305,53.4807593
"744",-3.435973,55.378051
"746",-121.9277474,37.3847692
"747",-95.712891,37.09024
"749",-66.9036063,10.4805937
"752",-122.598398,49.2193226
"754",-59.933333,-29.233333
"756",-72.9492703,41.6717648
"758",-78.8689155,38.4495688
"759",-6.4923145,54.7877149
"761",-80.1917902,25.7616798
"765",-80.1917902,25.7616798
"766",-92.4801989,44.0121221
"769",153.1932534,-28.6104322
"770",-80.1917902,25.7616798
"772",-92.0165336,34.974532
"774",-85.6023643,44.3148443
"775",-81.5157535,27.6648274
"778",-84.3879824,33.7489954
"780",-83.0790865,39.9388943
"783",-46.6333094,-23.5505199
"784",-66.58973,6.42375
"785",-15.5474373,27.9202202
"786",88.1559741,26.646384
"787",-74.0059413,40.7127837
"788",-96.7969879,32.7766642
"793",-43.1819148,-22.9070828
"794",-1.1743197,52.3555177
"795",-85.7613536,33.8137125
"797",-118.2436849,34.0522342
"798",-71.5658233,43.4546962
"800",-84.0873524,37.9296403
"802",-95.9145568,41.1543623
"803",-77.1067698,38.8799697
"804",-74.0059413,40.7127837
"807",113.921327,-0.789275
"810",-58.3815591,-34.6036844
"811",-119.4179324,36.778261
"815",2.6370411,48.8499198
"817",-122.4559599,38.2937679
"819",-58.6167212,-34.6558611
"820",-58.3205986,-34.7040787
"822",-71.4774291,41.5800945
"823",-0.1277583,51.5073509
"824",-79.0867579,43.8384117
"825",-96.7969879,32.7766642
"827",-61.679,12.1165
"828",-92.4801989,44.0121221
"830",-58.6452437,-34.6554584
"831",-92.4801989,44.0121221
"833",-58.5632629,-34.6874084
"834",-84.3640829,33.7589188
"835",-58.4059227,-34.9327739
"838",-81.4678193,28.4743207
"839",-97.7428165,32.742923
"840",-81.6943605,41.49932
"842",-95.712891,37.09024
"844",-95.3698028,29.7604267
"847",-82.4571776,27.950575
"849",-3.435973,55.378051
"852",-3.4479915,40.3064074
"853",-65.2994767,-24.1857864
"854",-70.0270004,19.2090823
"858",-58.3815591,-34.6036844
"859",-87.6297982,41.8781136
"861",12.56738,41.87194
"862",-3.7033725,40.4162883
"863",-81.5157535,27.6648274
"864",-100.2596935,25.6775595
"865",-106.346771,56.130366
"866",-117.2296717,33.9424658
"867",-57.575926,-25.2637399
"868",-94.1265562,30.080174
"869",47.6755291,29.3365728
"870",-3.7038322,40.4167515
"871",-119.6305912,46.9009701
"873",-80.2767327,26.6514503
"874",-106.346771,56.130366
"877",-119.4179324,36.778261
"878",-82.4571776,27.950575
"880",-71.2785583,42.5475383
"882",-71.0588801,42.3600825
"884",-58.3815591,-34.6036844
"885",-106.346771,56.130366
"888",-98.2061996,19.0412967
"891",-74.0059413,40.7127837
"892",-118.2436849,34.0522342
"895",-118.258582,34.0480519
"896",-79.3831843,43.653226
"897",-0.1277583,51.5073509
"898",-79.0192997,35.7595731
"899",103.6131203,-1.6101229
"902",-79.3831843,43.653226
"903",-81.3792365,28.5383355
"905",-102.552784,23.634501
"908",-86.0341463,34.6723069
"911",-86.3442107,34.3614336
"912",-82.283839,34.734298
"913",-121.9552356,37.3541079
"914",-81.2078699,29.5844524
"916",0.9748439,49.6054187
"917",-84.1688274,39.6895036
"918",139.7784075,35.7710029
"919",-82.9000751,32.1656221
"920",-78.6568942,37.4315734
"921",-96.373747,30.6735749
"922",103.819836,1.352083
"923",-71.0588801,42.3600825
"926",-97.5027376,25.8690294
"927",-157.9145932,21.6147678
"928",-81.5157535,27.6648274
"929",-74.072092,4.7109886
"930",-117.7831104,33.5422475
"931",-71.3824374,42.4072107
"933",78.96288,20.593684
"936",-84.2700179,37.8393332
"939",51.3889736,35.6891975
"944",-84.2122434,36.4578953
"946",-75.1652215,39.9525839
"947",-95.99153,36.156883
"948",-94.6858998,46.729553
"949",-118.2436849,34.0522342
"950",-73.9800317,40.7617895
"951",-104.6531759,24.0277202
"953",-72.7776285,43.1438429
"954",133.775136,-25.274398
"956",-105.2551187,54.5259614
"958",-58.3815591,-34.6036844
"960",-90.9737149,30.6783126
"962",-95.8243956,29.7857853
"963",-98.8203046,26.3797874
"964",132.7027177,34.6664257
"965",-80.258378,36.043226
"967",-81.4403898,41.1595005
